Date,Tank,Daily_mean
2023/11/22,T1,26.15322222
2023/11/23,T1,25.82140972
2023/11/24,T1,26.21244444
2023/11/25,T1,25.99104861
2023/11/26,T1,25.66329167
2023/11/27,T1,25.88149306
2023/11/28,T1,26.04179861
2023/11/29,T1,25.71577083
2023/11/30,T1,26.05463194
2023/12/1,T1,26.19965278
2023/12/2,T1,25.88213889
2023/12/3,T1,25.56190972
2023/12/4,T1,25.95595139
2023/12/5,T1,26.56115278
2023/12/6,T1,26.25649306
2023/12/7,T1,26.13804167
2023/12/8,T1,25.51002083
2023/12/9,T1,25.72272917
2023/12/10,T1,26.31446528
2023/12/11,T1,27.90640278
2023/12/12,T1,28.39379167
2023/12/13,T1,27.65970139
2023/12/14,T1,27.23138194
2023/12/15,T1,27.23614583
2023/12/16,T1,26.80969444
2023/12/17,T1,26.16579861
2023/12/18,T1,26.00052778
2023/12/19,T1,26.31161806
2023/12/20,T1,26.22404861
2023/12/21,T1,25.07334028
2023/12/22,T1,24.09490278
2023/12/23,T1,23.39176104
2023/12/24,T1,23.90860835
2023/12/25,T1,24.30156401
2023/12/26,T1,23.94100708
2023/12/27,T1,24.31586414
2023/12/28,T1,25.05686412
2023/12/29,T1,25.75600642
2023/12/30,T1,26.01445148
2023/12/31,T1,26.58608429
2024/1/1,T1,26.07850415
2024/1/2,T1,24.97188261
2024/1/3,T1,25.02275235
2024/1/4,T1,24.52239675
2024/1/5,T1,23.74229485
2024/1/6,T1,23.74713604
2024/1/7,T1,24.39369558
2024/1/8,T1,24.42974382
2024/1/9,T1,24.63836187
2024/1/10,T1,24.71403339
2024/1/11,T1,24.12906869
2024/1/12,T1,23.83018107
2024/1/13,T1,24.04676846
2024/1/14,T1,24.14992304
2024/1/15,T1,24.17532067
2024/1/16,T1,24.08698758
2024/1/17,T1,24.07440048
2024/1/18,T1,24.38885439
2024/1/19,T1,24.83766993
2024/1/20,T1,24.96227471
2024/1/21,T1,25.17625531
2024/1/22,T1,24.62897741
2024/1/23,T1,23.73581511
2024/1/24,T1,22.95638353
2024/1/25,T1,22.88570216
2024/1/26,T1,23.36475652
2024/1/27,T1,23.62409534
2024/1/28,T1,23.98539707
2024/1/29,T1,23.95217906
2024/1/30,T1,24.4704843
2024/1/31,T1,24.84683095
2024/2/1,T1,25.10698905
2024/2/2,T1,25.22071977
2024/2/3,T1,25.40557875
2024/2/4,T1,25.71936234
2024/2/5,T1,26.14158858
2024/2/6,T1,26.29248474
2024/2/7,T1,25.88351591
2024/2/8,T1,25.53070489
2024/2/9,T1,25.2065686
2024/2/10,T1,24.55107149
2024/2/11,T1,24.33612266
2024/2/12,T1,24.25769538
2024/2/13,T1,23.99582425
2024/2/14,T1,24.21285851
2024/2/15,T1,25.13253564
2024/2/16,T1,25.43604101
2024/2/17,T1,25.07312844
2024/2/18,T1,26.4388125
2024/2/19,T1,27.18564583
2024/2/20,T1,26.84644792
2024/2/21,T1,26.66605208
2024/2/22,T1,26.57133333
2024/2/23,T1,26.384875
2024/2/24,T1,26.01211458
2024/2/25,T1,25.85077083
2024/2/26,T1,25.29172917
2024/2/27,T1,24.90854167
2024/2/28,T1,25.24358333
2024/2/29,T1,25.64635417
2024/3/1,T1,25.7695625
2024/3/2,T1,24.76615625
2024/3/3,T1,24.241375
2024/3/4,T1,24.31532292
2024/3/5,T1,25.78371875
2024/3/6,T1,26.66329167
2024/3/7,T1,26.01107292
2024/3/8,T1,24.9516875
2024/3/9,T1,23.84639583
2024/3/10,T1,23.4995625
2024/3/11,T1,24.17120833
2024/3/12,T1,24.9880625
2024/3/13,T1,24.5135625
2024/3/14,T1,24.19757292
2024/3/15,T1,24.688875
2024/3/16,T1,25.20652083
2024/3/17,T1,25.73041667
2024/3/18,T1,26.06278125
2024/3/19,T1,25.97455208
2024/3/20,T1,24.97090625
2024/3/21,T1,23.91760417
2024/3/22,T1,24.2546875
2024/3/23,T1,25.44519792
2024/3/24,T1,26.02414493
2024/3/25,T1,25.20652083
2024/3/26,T1,25.73041667
2024/3/27,T1,26.06278125
2024/3/28,T1,25.97455208
2024/3/29,T1,24.97090625
2024/3/30,T1,23.91760417
2024/3/31,T1,24.2546875
2024/4/1,T1,25.44519792
2024/4/2,T1,26.02414493
2024/4/3,T1,27.72596875
2024/4/4,T1,28.04697917
2024/4/5,T1,28.27178125
2024/4/6,T1,28.22541667
2024/4/7,T1,28.30891667
2024/4/8,T1,28.94990625
2024/4/9,T1,27.27738542
2024/4/10,T1,26.58864583
2024/4/11,T1,26.5015625
2024/4/12,T1,27.09880208
2024/4/13,T1,27.28338542
2024/4/14,T1,28.3261875
2024/4/15,T1,28.55902083
2024/4/16,T1,28.49885417
2024/4/17,T1,28.44736458
2024/4/18,T1,28.2351875
2024/4/19,T1,28.06653125
2024/4/20,T1,28.43159375
2024/4/21,T1,28.74809375
2024/4/22,T1,29.04678125
2024/4/23,T1,28.98141667
2024/4/24,T1,28.69320833
2024/4/25,T1,27.96659375
2024/4/26,T1,27.68541667
2024/4/27,T1,27.31378125
2024/4/28,T1,27.67166667
2024/4/29,T1,28.22411458
2024/4/30,T1,28.82885
2024/5/1,T1,28.18777335
2024/5/2,T1,28.22687527
2024/5/3,T1,28.11016535
2024/5/4,T1,28.14993759
2024/5/5,T1,28.57842014
2024/5/6,T1,29.01427619
2024/5/7,T1,28.93041189
2024/5/8,T1,28.5685888
2024/5/9,T1,27.56489841
2024/5/10,T1,27.09068524
2024/5/11,T1,27.21856713
2024/5/12,T1,27.56102546
2024/5/13,T1,27.95197016
2024/5/14,T1,27.13395803
2024/5/15,T1,26.82866514
2024/5/16,T1,26.89100477
2024/5/17,T1,26.76297392
2024/5/18,T1,26.87730048
2024/5/19,T1,27.18423192
2024/5/20,T1,27.30831534
2024/5/21,T1,27.40990585
2024/5/22,T1,28.00969204
2024/5/23,T1,28.2138413
2024/5/24,T1,28.22985447
2024/5/25,T1,28.26106152
2024/5/26,T1,28.08722556
2024/5/27,T1,28.27521269
2024/5/28,T1,28.11105911
2024/5/29,T1,27.47500124
2024/5/30,T1,27.52415794
2024/5/31,T1,27.89097117
2024/6/1,T1,28.38648558
2024/6/2,T1,28.80707326
2024/6/3,T1,28.33919088
2024/6/4,T1,27.47768251
2024/6/5,T1,27.27636349
2024/6/6,T1,27.58843404
2024/6/7,T1,27.98831633
2024/6/8,T1,28.27484029
2024/6/9,T1,29.07542414
2024/6/10,T1,29.10454576
2024/6/11,T1,28.91067473
2024/6/12,T1,28.86613578
2024/6/13,T1,28.6450796
2024/6/14,T1,28.77936676
2024/6/15,T1,29.10558848
2024/6/16,T1,29.24426995
2024/6/17,T1,29.25142002
2024/6/18,T1,29.01607097
2023/11/22,T2,26.07377778
2023/11/23,T2,25.8184375
2023/11/24,T2,26.20024306
2023/11/25,T2,25.99370139
2023/11/26,T2,25.68945833
2023/11/27,T2,25.83132639
2023/11/28,T2,25.98633333
2023/11/29,T2,25.63951389
2023/11/30,T2,25.882875
2023/12/1,T2,26.12098611
2023/12/2,T2,25.86925
2023/12/3,T2,25.5625625
2023/12/4,T2,25.89424306
2023/12/5,T2,26.49250694
2023/12/6,T2,26.14325694
2023/12/7,T2,25.91397917
2023/12/8,T2,25.21403472
2023/12/9,T2,25.57288194
2023/12/10,T2,26.1741875
2023/12/11,T2,27.83166667
2023/12/12,T2,28.34420139
2023/12/13,T2,27.58454167
2023/12/14,T2,27.18222917
2023/12/15,T2,27.20061806
2023/12/16,T2,26.85323611
2023/12/17,T2,26.19826389
2023/12/18,T2,25.97954167
2023/12/19,T2,26.20921528
2023/12/20,T2,26.12233333
2023/12/21,T2,25.01544444
2023/12/22,T2,24.01724306
2023/12/23,T2,23.24514479
2023/12/24,T2,23.73194216
2023/12/25,T2,24.17718267
2023/12/26,T2,23.78206709
2023/12/27,T2,24.20004798
2023/12/28,T2,24.88853967
2023/12/29,T2,25.55759211
2023/12/30,T2,25.79950265
2023/12/31,T2,26.36443227
2024/1/1,T2,25.86303396
2024/1/2,T2,24.74754932
2024/1/3,T2,24.76378593
2024/1/4,T2,24.18880152
2024/1/5,T2,23.41711585
2024/1/6,T2,23.64614137
2024/1/7,T2,24.33128147
2024/1/8,T2,24.36829795
2024/1/9,T2,24.59866411
2024/1/10,T2,24.68841232
2024/1/11,T2,24.02606306
2024/1/12,T2,23.77774726
2024/1/13,T2,23.94391179
2024/1/14,T2,24.0063259
2024/1/15,T2,24.10799089
2024/1/16,T2,23.98465227
2024/1/17,T2,23.95396657
2024/1/18,T2,24.2572485
2024/1/19,T2,24.81286814
2024/1/20,T2,24.92190664
2024/1/21,T2,25.094253
2024/1/22,T2,24.50139343
2024/1/23,T2,23.64010851
2024/1/24,T2,22.91236594
2024/1/25,T2,22.85360135
2024/1/26,T2,23.26145298
2024/1/27,T2,23.56220259
2024/1/28,T2,23.96923494
2024/1/29,T2,23.93050542
2024/1/30,T2,24.40851707
2024/1/31,T2,24.76296665
2024/2/1,T2,24.99013017
2024/2/2,T2,25.16821148
2024/2/3,T2,25.43149773
2024/2/4,T2,25.7760415
2024/2/5,T2,26.25688338
2024/2/6,T2,26.30060304
2024/2/7,T2,25.87569553
2024/2/8,T2,25.4467661
2024/2/9,T2,25.18765072
2024/2/10,T2,24.42237032
2024/2/11,T2,24.30350048
2024/2/12,T2,24.21330539
2024/2/13,T2,23.81178455
2024/2/14,T2,24.17911914
2024/2/15,T2,25.08509198
2024/2/16,T2,25.39716253
2024/2/17,T2,25.03608943
2024/2/18,T2,26.38784375
2024/2/19,T2,27.11817708
2024/2/20,T2,26.738375
2024/2/21,T2,26.53363542
2024/2/22,T2,26.40846875
2024/2/23,T2,26.15719792
2024/2/24,T2,25.77575
2024/2/25,T2,25.5923125
2024/2/26,T2,25.03839583
2024/2/27,T2,24.69384375
2024/2/28,T2,25.02136458
2024/2/29,T2,25.40035417
2024/3/1,T2,25.52034375
2024/3/2,T2,24.52759375
2024/3/3,T2,24.04440625
2024/3/4,T2,24.15451042
2024/3/5,T2,25.65409375
2024/3/6,T2,26.35842708
2024/3/7,T2,25.99276042
2024/3/8,T2,24.97185417
2024/3/9,T2,23.89546875
2024/3/10,T2,23.44848958
2024/3/11,T2,24.08464583
2024/3/12,T2,24.966875
2024/3/13,T2,24.49342708
2024/3/14,T2,24.08102083
2024/3/15,T2,24.55814583
2024/3/16,T2,25.0871875
2024/3/17,T2,25.60369792
2024/3/18,T2,25.966375
2024/3/19,T2,25.93602083
2024/3/20,T2,25.00426042
2024/3/21,T2,23.85441667
2024/3/22,T2,24.16019792
2024/3/23,T2,25.38958333
2024/3/24,T2,26.0297971
2024/3/25,T2,25.0871875
2024/3/26,T2,25.60369792
2024/3/27,T2,25.966375
2024/3/28,T2,25.93602083
2024/3/29,T2,25.00426042
2024/3/30,T2,23.85441667
2024/3/31,T2,24.16019792
2024/4/1,T2,25.38958333
2024/4/2,T2,26.0297971
2024/4/3,T2,27.54940625
2024/4/4,T2,27.77428125
2024/4/5,T2,27.97290625
2024/4/6,T2,27.98313542
2024/4/7,T2,28.07370833
2024/4/8,T2,28.76532292
2024/4/9,T2,27.446875
2024/4/10,T2,26.93957292
2024/4/11,T2,26.79304167
2024/4/12,T2,27.38232292
2024/4/13,T2,27.78766667
2024/4/14,T2,28.40570833
2024/4/15,T2,28.38127083
2024/4/16,T2,28.4615625
2024/4/17,T2,28.42238542
2024/4/18,T2,28.02191667
2024/4/19,T2,27.95940625
2024/4/20,T2,28.40988542
2024/4/21,T2,28.77290625
2024/4/22,T2,29.04880208
2024/4/23,T2,28.97309375
2024/4/24,T2,28.59283333
2024/4/25,T2,27.87602083
2024/4/26,T2,27.59001042
2024/4/27,T2,27.13571875
2024/4/28,T2,27.5125625
2024/4/29,T2,28.08078125
2024/4/30,T2,28.56045
2024/5/1,T2,27.81988147
2024/5/2,T2,27.86560951
2024/5/3,T2,27.89091601
2024/5/4,T2,27.90976046
2024/5/5,T2,28.19434549
2024/5/6,T2,28.81278914
2024/5/7,T2,28.18553407
2024/5/8,T2,27.78213294
2024/5/9,T2,27.23867316
2024/5/10,T2,27.29393116
2024/5/11,T2,27.53447627
2024/5/12,T2,28.0112471
2024/5/13,T2,28.18721946
2024/5/14,T2,27.77762485
2024/5/15,T2,27.62759299
2024/5/16,T2,27.35102322
2024/5/17,T2,27.2742005
2024/5/18,T2,27.57230128
2024/5/19,T2,27.9278295
2024/5/20,T2,28.11939726
2024/5/21,T2,28.12871334
2024/5/22,T2,28.26079394
2024/5/23,T2,28.02639982
2024/5/24,T2,27.88782307
2024/5/25,T2,27.70245784
2024/5/26,T2,27.79221174
2024/5/27,T2,28.14502301
2024/5/28,T2,28.36052956
2024/5/29,T2,28.04037774
2024/5/30,T2,28.04663405
2024/5/31,T2,27.89927567
2024/6/1,T2,27.99475883
2024/6/2,T2,28.46111438
2024/6/3,T2,28.914287
2024/6/4,T2,28.8253953
2024/6/5,T2,28.45184164
2024/6/6,T2,27.46643606
2024/6/7,T2,27.0041769
2024/6/8,T2,27.16062181
2024/6/9,T2,27.55387539
2024/6/10,T2,27.92001831
2024/6/11,T2,26.97233676
2024/6/12,T2,26.74115133
2024/6/13,T2,26.78032772
2024/6/14,T2,26.64983904
2024/6/15,T2,26.72878767
2024/6/16,T2,27.02234998
2024/6/17,T2,27.14777404
2024/6/18,T2,27.2513755
2023/11/22,T3,26.12790741
2023/11/23,T3,25.89024306
2023/11/24,T3,25.94783333
2023/11/25,T3,25.63401389
2023/11/26,T3,25.48096528
2023/11/27,T3,25.70634028
2023/11/28,T3,25.80034028
2023/11/29,T3,25.4241875
2023/11/30,T3,25.88886806
2023/12/1,T3,25.92403472
2023/12/2,T3,25.48961111
2023/12/3,T3,25.21324306
2023/12/4,T3,25.69167361
2023/12/5,T3,26.31409722
2023/12/6,T3,26.10539583
2023/12/7,T3,25.97407639
2023/12/8,T3,25.3250625
2023/12/9,T3,25.64031944
2023/12/10,T3,26.16874306
2023/12/11,T3,27.75406944
2023/12/12,T3,28.33392361
2023/12/13,T3,27.48884722
2023/12/14,T3,27.08265972
2023/12/15,T3,27.14942361
2023/12/16,T3,26.75190278
2023/12/17,T3,26.07015972
2023/12/18,T3,25.89765278
2023/12/19,T3,26.16329167
2023/12/20,T3,26.09459722
2023/12/21,T3,24.92533333
2023/12/22,T3,23.97039583
2023/12/23,T3,23.21607087
2023/12/24,T3,23.8363629
2023/12/25,T3,24.12281238
2023/12/26,T3,23.75815906
2023/12/27,T3,24.21375227
2023/12/28,T3,24.9128201
2023/12/29,T3,25.60153522
2023/12/30,T3,25.84836143
2023/12/31,T3,26.49529336
2024/1/1,T3,26.0358272
2024/1/2,T3,24.88727351
2024/1/3,T3,24.97583004
2024/1/4,T3,24.36263748
2024/1/5,T3,23.64837577
2024/1/6,T3,23.69306368
2024/1/7,T3,24.2764643
2024/1/8,T3,24.27854974
2024/1/9,T3,24.517779
2024/1/10,T3,24.54042087
2024/1/11,T3,23.90838491
2024/1/12,T3,23.67906147
2024/1/13,T3,23.85490838
2024/1/14,T3,24.00021856
2024/1/15,T3,24.09138189
2024/1/16,T3,24.00610246
2024/1/17,T3,23.88388104
2024/1/18,T3,24.13368644
2024/1/19,T3,24.58570462
2024/1/20,T3,24.72997208
2024/1/21,T3,24.91304354
2024/1/22,T3,24.3437196
2024/1/23,T3,23.59907011
2024/1/24,T3,22.78597365
2024/1/25,T3,22.79625186
2024/1/26,T3,23.1157704
2024/1/27,T3,23.46895382
2024/1/28,T3,23.8910311
2024/1/29,T3,23.82437164
2024/1/30,T3,24.2956801
2024/1/31,T3,24.5850343
2024/2/1,T3,24.81420878
2024/2/2,T3,24.98350147
2024/2/3,T3,25.25870449
2024/2/4,T3,25.61903798
2024/2/5,T3,25.97825428
2024/2/6,T3,26.14568497
2024/2/7,T3,25.7564533
2024/2/8,T3,25.34964439
2024/2/9,T3,25.02521018
2024/2/10,T3,24.33507994
2024/2/11,T3,24.16035022
2024/2/12,T3,24.01690204
2024/2/13,T3,23.82176485
2024/2/14,T3,24.1811301
2024/2/15,T3,25.01612364
2024/2/16,T3,25.36886019
2024/2/17,T3,25.01426511
2024/2/18,T3,26.29366667
2024/2/19,T3,26.84532292
2024/2/20,T3,26.58552083
2024/2/21,T3,26.41051042
2024/2/22,T3,26.32191667
2024/2/23,T3,26.08607292
2024/2/24,T3,25.66521875
2024/2/25,T3,25.56498958
2024/2/26,T3,24.99194792
2024/2/27,T3,24.60416667
2024/2/28,T3,24.94370833
2024/2/29,T3,25.37817708
2024/3/1,T3,25.344375
2024/3/2,T3,24.22880208
2024/3/3,T3,23.83547917
2024/3/4,T3,23.91461458
2024/3/5,T3,25.40801042
2024/3/6,T3,26.17267708
2024/3/7,T3,25.9216875
2024/3/8,T3,24.9224375
2024/3/9,T3,23.84033333
2024/3/10,T3,23.41036458
2024/3/11,T3,24.06165625
2024/3/12,T3,24.9105625
2024/3/13,T3,24.45917708
2024/3/14,T3,24.0289375
2024/3/15,T3,24.49976042
2024/3/16,T3,25.01857292
2024/3/17,T3,25.52678125
2024/3/18,T3,25.84661458
2024/3/19,T3,25.86292708
2024/3/20,T3,25.00422917
2024/3/21,T3,23.81022917
2024/3/22,T3,24.07659375
2024/3/23,T3,25.30047917
2024/3/24,T3,25.92515942
2024/3/25,T3,25.01857292
2024/3/26,T3,25.52678125
2024/3/27,T3,25.84661458
2024/3/28,T3,25.86292708
2024/3/29,T3,25.00422917
2024/3/30,T3,23.81022917
2024/3/31,T3,24.07659375
2024/4/1,T3,25.30047917
2024/4/2,T3,25.92515942
2024/4/3,T3,27.45198958
2024/4/4,T3,27.50434375
2024/4/5,T3,27.67166667
2024/4/6,T3,27.66958333
2024/4/7,T3,27.81027083
2024/4/8,T3,28.61130208
2024/4/9,T3,27.44065625
2024/4/10,T3,26.99567708
2024/4/11,T3,26.91244792
2024/4/12,T3,27.49717708
2024/4/13,T3,27.85038542
2024/4/14,T3,28.46146875
2024/4/15,T3,28.42246875
2024/4/16,T3,28.42129167
2024/4/17,T3,28.42652083
2024/4/18,T3,27.81104167
2024/4/19,T3,27.78542708
2024/4/20,T3,28.26730208
2024/4/21,T3,28.67142708
2024/4/22,T3,28.93047917
2024/4/23,T3,28.84752083
2024/4/24,T3,28.51189583
2024/4/25,T3,27.83895833
2024/4/26,T3,27.54579167
2024/4/27,T3,27.14385417
2024/4/28,T3,27.49719792
2024/4/29,T3,28.01483333
2024/4/30,T3,28.61
2024/5/1,T3,27.89298213
2024/5/2,T3,27.86639282
2024/5/3,T3,27.68838599
2024/5/4,T3,27.83958008
2024/5/5,T3,28.34380863
2024/5/6,T3,28.81429781
2024/5/7,T3,28.72037872
2024/5/8,T3,28.33509449
2024/5/9,T3,27.3679737
2024/5/10,T3,26.91766856
2024/5/11,T3,27.10267649
2024/5/12,T3,27.54672533
2024/5/13,T3,27.88806646
2024/5/14,T3,26.8107155
2024/5/15,T3,26.65363751
2024/5/16,T3,26.66965068
2024/5/17,T3,26.53670415
2024/5/18,T3,26.58027486
2024/5/19,T3,26.86046804
2024/5/20,T3,26.98723273
2024/5/21,T3,27.09284515
2024/5/22,T3,27.6965043
2024/5/23,T3,27.81232045
2024/5/24,T3,27.81790644
2024/5/25,T3,27.89983427
2024/5/26,T3,27.64451736
2024/5/27,T3,27.72882855
2024/5/28,T3,27.48453466
2024/5/29,T3,27.0494234
2024/5/30,T3,27.08375861
2024/5/31,T3,27.47567156
2024/6/1,T3,28.02108746
2024/6/2,T3,28.53633903
2024/6/3,T3,28.07754318
2024/6/4,T3,27.07832158
2024/6/5,T3,26.88251407
2024/6/6,T3,27.19667006
2024/6/7,T3,27.51782715
2024/6/8,T3,27.73374422
2024/6/9,T3,28.56270489
2024/6/10,T3,28.60158337
2024/6/11,T3,28.42536406
2024/6/12,T3,28.39654036
2024/6/13,T3,28.29584361
2024/6/14,T3,28.50431269
2024/6/15,T3,28.95543711
2024/6/16,T3,29.02202209
2024/6/17,T3,28.96169342
2024/6/18,T3,28.73904955
